fid,FRRD_NM,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
372,110번 본신,157,5,1,5,4,525,3.34394904458599,4,1.41292205597373,1,5,2,5,3
373,102번 본신,77,5,1,5,4,201,2.61038961038961,3,0.969078343178059,5,3,2,3,1
374,전환4,35,5,1,5,4,130,3.71428571428571,4,1.05752888704696,1,4,3,4.5,1.5
375,산불진화1(추경),81,5,1,5,4,255,3.14814814814815,3,0.818174890162019,1,3,3,4,1
376,112번 수하2,28,4,2,5,3,105,3.75,4,0.911239344440934,2,3,3,4.5,1.5
377,111번 수하,80,5,1,5,4,267,3.3375,3,1.08332532048319,1,3,3,4,1
378,103번 수하,242,5,1,5,4,851,3.51652892561983,4,1.0050161059059,1,4,3,4,1
379,51번 본신(산불2),19,4,2,5,3,73,3.84210526315789,4,0.874381459254534,2,4,3,4.5,1.5
380,재해예방1,346,5,1,5,4,1316,3.80346820809249,4,1.07874343265577,2,4,3,5,2
381,76번 영리~금곡,114,5,1,5,4,438,3.84210526315789,4,1.01375580443464,1,4,3,5,2
382,전환2,42,5,1,5,4,137,3.26190476190476,3,1.39829017714534,4,5,2,5,3
383,재해예방2,458,5,1,5,4,1526,3.33187772925764,3,1.20366487773312,1,3,3,4,1
384,산불예방1,256,5,1,5,4,726,2.8359375,3,1.15770073684599,5,3,2,4,2
385,조금(원수목),655,5,1,5,4,2075,3.16793893129771,3,1.11719845740011,1,3,2,4,2
386,조금산불예방,210,5,1,5,4,670,3.19047619047619,3,1.03367341342591,1,3,2,4,2
387,109번 상원,156,5,1,5,4,444,2.84615384615385,3,1.01371268721901,5,3,2,4,2
388,101번 상원,347,5,1,5,4,1019,2.93659942363112,3,1.12938889308122,5,3,2,4,2
389,107번 가천,68,5,1,5,4,226,3.32352941176471,3.5,1.31105229929545,1,4,2,4,2
390,산불진화2(추경),79,4,2,5,3,303,3.83544303797468,4,0.892023439364449,2,4,3,5,2
